Jurisdiction,Year,Case Count
Alabama,2015,3489
Alabama,2016,3349
Alabama,2017,3032
Alabama,1991,1873
Alabama,1992,1788
Alabama,1975,1762
Alabama,1993,1670
Alabama,1990,1565
Alabama,1981,1547
Alabama,1974,1527
Alabama,1986,1494
Alabama,1983,1474
Alabama,1989,1464
Alabama,1984,1448
Alabama,1985,1441
Alabama,1976,1429
Alabama,1931,1429
Alabama,1987,1417
Alabama,1930,1384
Alabama,1988,1338
Alabama,1979,1331
Alabama,1994,1318
Alabama,1925,1315
Alabama,1935,1296
Alabama,1995,1294
Alabama,1929,1293
Alabama,1932,1261
Alabama,1926,1245
Alabama,1980,1244
Alabama,1982,1241
Alabama,1924,1239
Alabama,1933,1217
Alabama,1923,1196
Alabama,1977,1173
Alabama,1917,1149
Alabama,1978,1143
Alabama,1996,1141
Alabama,1928,1132
Alabama,2000,1108
Alabama,1914,1097
Alabama,1936,1087
Alabama,1937,1079
Alabama,1922,1075
Alabama,1927,1062
Alabama,1938,1059
Alabama,1913,1054
Alabama,1921,1040
Alabama,1997,1020
Alabama,2001,1017
Alabama,1916,995
Alabama,1915,989
Alabama,1939,979
Alabama,1912,978
Alabama,1940,962
Alabama,1934,953
Alabama,2003,938
Alabama,1950,929
Alabama,1998,904
Alabama,1999,903
Alabama,1918,899
Alabama,2018,892
Alabama,1973,890
Alabama,2002,880
Alabama,1941,853
Alabama,1949,852
Alabama,1920,849
Alabama,1911,824
Alabama,1948,786
Alabama,1909,773
Alabama,1919,760
Alabama,2004,741
Alabama,2009,735
Alabama,1906,733
Alabama,1907,726
Alabama,2007,722
Alabama,2008,720
Alabama,1942,720
Alabama,2010,679
Alabama,1893,673
Alabama,1972,661
Alabama,1947,658
Alabama,1951,657
Alabama,1910,649
Alabama,1895,644
Alabama,1943,644
Alabama,2014,635
Alabama,2006,633
Alabama,1908,633
Alabama,1944,601
Alabama,2011,598
Alabama,2005,591
Alabama,1946,581
Alabama,1902,566
Alabama,1953,555
Alabama,1890,554
Alabama,1945,550
Alabama,2012,518
Alabama,2013,498
Alabama,1970,492
Alabama,1898,484
Alabama,1969,475
Alabama,1952,472
Alabama,1955,470
Alabama,1963,468
Alabama,1954,460
Alabama,1959,455
Alabama,1896,444
Alabama,1957,444
Alabama,1880,443
Alabama,1971,438
Alabama,1968,431
Alabama,1899,430
Alabama,1900,423
Alabama,1961,417
Alabama,1877,417
Alabama,1958,417
Alabama,1966,408
Alabama,1875,406
Alabama,1894,403
Alabama,1956,399
Alabama,1965,396
Alabama,1964,396
Alabama,1846,395
Alabama,1887,381
Alabama,1960,381
Alabama,1962,377
Alabama,1876,366
Alabama,1888,366
Alabama,1903,365
Alabama,1904,365
Alabama,1901,362
Alabama,1967,361
Alabama,1847,353
Alabama,1848,345
Alabama,1881,340
Alabama,1884,335
Alabama,1845,332
Alabama,1897,328
Alabama,1849,313
Alabama,1852,312
Alabama,1886,312
Alabama,1844,303
Alabama,1885,296
Alabama,1874,292
Alabama,1889,279
Alabama,1882,278
Alabama,1891,273
Alabama,1883,268
Alabama,1859,257
Alabama,1892,253
Alabama,1842,253
Alabama,1871,251
Alabama,1851,248
Alabama,1858,246
Alabama,1853,239
Alabama,1850,236
Alabama,1872,235
Alabama,1855,235
Alabama,1878,233
Alabama,1843,230
Alabama,1857,229
Alabama,1854,227
Alabama,1873,221
Alabama,1879,217
Alabama,1860,210
Alabama,1841,208
Alabama,1856,203
Alabama,1868,199
Alabama,1905,178
Alabama,1840,175
Alabama,1861,168
Alabama,1839,163
Alabama,1838,140
Alabama,1870,130
Alabama,1867,129
Alabama,1833,121
Alabama,1837,117
Alabama,1869,115
Alabama,1830,109
Alabama,1827,106
Alabama,1835,105
Alabama,1836,97
Alabama,1832,97
Alabama,1863,86
Alabama,1824,79
Alabama,1828,72
Alabama,1831,70
Alabama,1866,67
Alabama,1834,63
Alabama,1823,48
Alabama,1829,43
Alabama,1864,41
Alabama,1862,41
Alabama,1822,38
Alabama,1820,24
Alabama,1826,21
Alabama,1865,20
Alabama,1821,18
Alabama,1825,10
