Jurisdiction,Year,Case Count
California,1931,1664
California,1963,1628
California,1962,1622
California,1932,1581
California,1935,1532
California,1936,1489
California,1933,1488
California,1960,1480
California,1961,1478
California,1928,1471
California,1959,1446
California,1934,1433
California,1967,1415
California,1968,1407
California,1969,1393
California,1957,1388
California,1930,1386
California,1958,1383
California,1985,1372
California,1956,1371
California,1929,1354
California,1955,1337
California,1970,1298
California,1927,1259
California,1942,1257
California,1986,1252
California,1979,1241
California,1984,1237
California,1980,1236
California,1919,1218
California,1951,1207
California,1983,1195
California,1941,1185
California,1954,1183
California,1953,1183
California,1991,1174
California,1989,1173
California,1950,1166
California,1976,1149
California,1978,1134
California,1937,1131
California,1988,1130
California,1952,1130
California,1981,1127
California,1990,1118
California,1920,1111
California,1992,1110
California,2008,1097
California,1966,1087
California,1987,1084
California,2007,1075
California,1982,1075
California,1921,1059
California,1971,1056
California,1975,1050
California,1938,1045
California,1994,1034
California,2016,1029
California,1993,1026
California,1948,1026
California,2009,1022
California,1995,1018
California,1917,1013
California,1977,1003
California,1918,1001
California,1949,997
California,2004,983
California,1996,972
California,2002,964
California,1940,960
California,2011,959
California,1939,953
California,2006,953
California,1965,950
California,2010,947
California,2018,942
California,2003,941
California,2005,939
California,1923,938
California,1997,933
California,2017,931
California,1964,913
California,1943,906
California,1947,905
California,2015,889
California,1998,884
California,1922,877
California,1974,877
California,1999,874
California,2012,865
California,2000,855
California,2001,851
California,2014,849
California,1946,847
California,1924,847
California,1925,847
California,1944,844
California,1915,836
California,2013,833
California,1916,803
California,1972,802
California,1973,767
California,1945,742
California,1926,741
California,1894,716
California,1912,711
California,1893,666
California,1891,664
California,1913,663
California,1905,656
California,1911,650
California,1908,641
California,1907,637
California,1901,636
California,1914,631
California,2019,630
California,1899,619
California,1890,614
California,1909,611
California,1896,607
California,1900,588
California,1892,587
California,1889,585
California,1910,582
California,1898,576
California,1895,561
California,1880,557
California,1906,545
California,1881,544
California,1885,536
California,1904,534
California,1897,532
California,1888,531
California,1884,513
California,1886,512
California,1902,499
California,1903,477
California,1887,467
California,1857,446
California,1858,419
California,1883,400
California,1882,397
California,1874,378
California,1872,364
California,1875,342
California,1859,325
California,1873,323
California,1863,317
California,1861,309
California,1856,294
California,1867,282
California,1865,280
California,1860,279
California,1866,278
California,1869,260
California,1864,258
California,1871,252
California,1870,248
California,1868,227
California,1855,222
California,1877,192
California,1878,177
California,1862,166
California,1879,157
California,1854,139
California,1852,137
California,1876,135
California,1853,125
California,1850,79
California,1851,54
California,1839,1
California,1837,1
California,1803,1
California,1804,1
Hawaii,1997,778
Hawaii,1996,642
Hawaii,1998,620
Hawaii,2006,525
Hawaii,2005,477
Hawaii,2004,460
Hawaii,1999,450
Hawaii,2002,427
Hawaii,2013,409
Hawaii,2007,402
Hawaii,2008,398
Hawaii,2015,396
Hawaii,2012,392
Hawaii,2016,386
Hawaii,2003,383
Hawaii,2009,377
Hawaii,2014,365
Hawaii,2011,357
Hawaii,1995,338
Hawaii,2001,337
Hawaii,2010,325
Hawaii,2000,319
Hawaii,2017,279
Hawaii,1994,278
Hawaii,1981,225
Hawaii,1982,222
Hawaii,1980,207
Hawaii,1983,159
Hawaii,1992,134
Hawaii,1905,130
Hawaii,1985,121
Hawaii,1904,119
Hawaii,1984,116
Hawaii,1978,115
Hawaii,1990,110
Hawaii,1902,109
Hawaii,1993,104
Hawaii,1986,99
Hawaii,2018,96
Hawaii,1968,94
Hawaii,1906,93
Hawaii,1909,92
Hawaii,1973,92
Hawaii,1987,89
Hawaii,1989,89
Hawaii,1901,88
Hawaii,1923,88
Hawaii,1979,87
Hawaii,1970,86
Hawaii,1907,85
Hawaii,1896,85
Hawaii,1903,83
Hawaii,1991,82
Hawaii,1977,81
Hawaii,1919,80
Hawaii,1972,79
Hawaii,1884,79
Hawaii,1893,78
Hawaii,1976,78
Hawaii,1969,77
Hawaii,1888,75
Hawaii,1915,75
Hawaii,1952,74
Hawaii,1885,74
Hawaii,1899,74
Hawaii,1898,74
Hawaii,1897,73
Hawaii,1988,71
Hawaii,1911,71
Hawaii,1908,70
Hawaii,1927,70
Hawaii,1971,69
Hawaii,1920,69
Hawaii,1918,69
Hawaii,1926,66
Hawaii,1892,66
Hawaii,1887,64
Hawaii,1959,64
Hawaii,1910,63
Hawaii,1894,62
Hawaii,1916,61
Hawaii,1912,61
Hawaii,1895,60
Hawaii,1929,59
Hawaii,1882,58
Hawaii,1917,58
Hawaii,1889,58
Hawaii,1913,57
Hawaii,1914,57
Hawaii,1974,56
Hawaii,1925,55
Hawaii,1931,55
Hawaii,1890,54
Hawaii,1975,54
Hawaii,1921,53
Hawaii,1967,52
Hawaii,1937,51
